tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,salario_cliente_log,total_otros_prestamos_log
9,1269000.0,3,61.0,Independiente,5000000.0,2000000.0,336766,708.0,11,15,0.0,178727.0,157581.0,0.0,5,2,3,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
4,2236561.1999999997,12,58.0,Empleado,2800000.0,400000.0,175932,754.0,10,2,0.0,56437.0,56437.0,0.0,5,0,3,3922859.0,Creciente,1,14.845130332288226,12.899222326086994
4,4284000.0,8,66.0,Independiente,8000000.0,2400000.0,486710,809.0,5,4,0.0,34874.0,34874.0,0.0,3,0,1,916148.0,Creciente,1,15.894952224644102,14.690979711984754
4,2969520.0,12,61.0,Independiente,4000000.0,1500000.0,232992,858.0,5,2,0.0,67246.0,56774.0,0.0,3,0,1,1205401.0,Creciente,1,15.201805169084134,14.220976332738882
4,1798440.0,12,52.0,Empleado,1800000.0,100000.0,140941,795.0,4,2,0.0,11296.0,11296.0,0.0,3,0,1,1765398.0,Creciente,1,14.403297778421795,11.51293546492023
4,2760000.0,12,43.0,Independiente,2500000.0,800000.0,216838,861.0,3,0,0.0,30260.0,30260.0,0.0,1,2,0,1205401.0,Creciente,1,14.731801689838349,13.592368256649284
4,4344000.0,6,43.0,Independiente,20000000.0,10000000.0,645827,838.0,5,1,0.0,4223.0,4223.0,0.0,2,1,1,1000000.0,Estable,1,16.811242881518265,16.118095750958314
4,1131900.0,6,34.0,Empleado,1500000.0,480000.0,168281,847.0,2,3,0.0,35.0,35.0,0.0,1,0,0,959344.0,Creciente,1,14.220976332738882,13.081543466215237
4,1200000.0,6,68.0,Empleado,4000000.0,2500000.0,178476,766.0,4,3,0.0,7506.0,7506.0,0.0,1,0,0,1205401.0,Creciente,0,15.201805169084134,14.731801689838349
4,3360000.0,6,50.0,Independiente,3580000.0,1155000.0,505742,922.0,5,4,0.0,41186.0,41186.0,0.0,4,1,0,969508.0,Creciente,1,15.090873637706453,13.959611767738522
4,2672400.0,12,42.0,Independiente,6000000.0,2000000.0,209955,798.0,6,1,0.0,29601.0,29601.0,0.0,4,0,0,1205401.0,Creciente,1,15.607270193858982,14.508658238524095
9,878880.0,5,49.0,Independiente,5000000.0,2000000.0,142664,820.0,13,12,0.0,36418.0,18861.0,0.0,6,0,4,941789.0,Creciente,1,15.424948670398354,14.508658238524095
9,878880.0,11,45.0,Independiente,5000000.0,2000000.0,68496,732.0,9,13,0.0,41386.0,41386.0,0.0,3,1,4,925157.0,Creciente,1,15.424948670398354,14.508658238524095
9,1269000.0,3,46.0,Empleado,5000000.0,2000000.0,337095,811.0,5,6,0.0,54767.0,54767.0,0.0,1,0,2,32826.0,Creciente,1,15.424948670398354,14.508658238524095
4,7200000.0,12,60.0,Independiente,12000000.0,3000000.0,570791,781.0,4,4,0.0,73341.0,73341.0,0.0,2,0,2,950105.0,Creciente,1,16.300417291085605,14.914123179965662
9,821208.0,2,61.0,Independiente,5000000.0,2000000.0,323844,853.0,7,3,0.0,29344.0,29344.0,0.0,5,0,1,66667.0,Estable,0,15.424948670398354,14.508658238524095
4,3191760.0,6,62.0,Independiente,8000000.0,4000000.0,472442,810.0,15,4,0.0,311060.0,311060.0,0.0,6,0,5,1205401.0,Creciente,0,15.894952224644102,15.201805169084134
9,1604400.0,5,56.0,Independiente,5000000.0,2000000.0,260433,797.0,6,7,0.0,57902.0,55711.0,0.0,3,1,2,933473.0,Creciente,0,15.424948670398354,14.508658238524095
4,1650000.0,12,44.0,Independiente,1400000.0,700000.0,129621,868.0,8,3,0.0,5201.0,5201.0,0.0,2,1,0,1204496.0,Creciente,1,14.151983508870947,13.45883704259595
4,1749600.0,6,50.0,Independiente,4000000.0,1500000.0,260027,784.0,4,2,0.0,14981.0,14981.0,0.0,2,0,0,1205401.0,Creciente,0,15.201805169084134,14.220976332738882
9,1269000.0,5,40.0,Independiente,5000000.0,2000000.0,205990,749.0,6,7,0.0,28101.0,28101.0,0.0,3,0,3,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
4,4944000.0,6,51.0,Independiente,30000000.0,10000000.0,732474,863.0,9,12,0.0,228980.0,228980.0,0.0,7,0,1,2345454.0,Creciente,1,17.216707972959764,16.118095750958314
4,1029024.0,6,63.0,Independiente,8370000.0,489000.0,154111,872.0,5,8,0.0,44108.0,44108.0,0.0,3,0,0,1205401.0,Creciente,1,15.940164561939964,13.100119813444692
4,1200000.0,6,57.0,Empleado,3000000.0,1000000.0,166667,780.0,1,2,0.0,141.0,141.0,0.0,0,0,0,6703319.0,Creciente,1,14.914123179965662,13.815511557963774
4,8649999.6,6,50.0,Independiente,8470000.0,2724000.0,1301985,812.0,7,3,0.0,102377.0,11843.0,0.0,4,0,2,333135.0,Decreciente,1,15.952041184691984,14.817612313358667
4,1905153.5999999999,6,46.0,Independiente,5000000.0,2000000.0,282256,798.0,8,1,0.0,13222.0,10659.0,0.0,0,3,0,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
4,2301030.0,10,42.0,Independiente,10600000.0,0.0,213136,782.0,8,5,0.0,63456.0,63456.0,0.0,3,0,4,1205401.0,Creciente,1,16.176364653421913,0.0
4,1199880.0,6,39.0,Empleado,1200000.0,500000.0,178377,834.0,3,0,0.0,39.0,39.0,0.0,1,0,0,1023333.0,Creciente,1,13.997832948091215,13.122365377402328
4,1806840.0,6,62.0,Empleado,1100000.0,500000.0,268172,812.0,5,0,0.0,797.0,797.0,0.0,2,0,0,1136219.0,Creciente,1,13.910821646859095,13.122365377402328
4,1499640.0,12,57.0,Independiente,4000000.0,1400000.0,117664,828.0,8,2,0.0,79078.0,58662.0,0.0,3,1,1,908526.0,Estable,1,15.201805169084134,14.151983508870947
4,3516000.0,6,53.0,Independiente,10000000.0,3000000.0,522198,724.0,5,3,0.0,235751.0,235751.0,0.0,2,0,2,916841.0,Creciente,1,16.118095750958314,14.914123179965662
4,2014699.2,10,55.0,Independiente,1400000.0,600000.0,186892,800.0,1,2,0.0,1409.0,1409.0,0.0,0,0,1,1205401.0,Creciente,1,14.151983508870947,13.304686600863562
9,1084186.8,5,59.0,Independiente,4000000.0,2000000.0,175581,677.0,3,0,132.0,15286.0,15286.0,0.0,2,0,1,1205401.0,Creciente,1,15.201805169084134,14.508658238524095
4,3350161.1999999997,12,38.0,Empleado,3500000.0,500000.0,263530,856.0,4,4,0.0,56602.0,56602.0,0.0,2,0,0,3118405.0,Creciente,1,15.068273812173887,13.122365377402328
4,5230200.0,12,42.0,Independiente,5000000.0,1000000.0,410396,820.0,7,2,0.0,668.0,668.0,0.0,1,0,2,908526.0,Estable,1,15.424948670398354,13.815511557963774
4,2254020.0,6,42.0,Independiente,6000000.0,2200000.0,335012,772.0,5,9,0.0,36004.0,995.0,0.0,2,0,0,908526.0,Estable,0,15.607270193858982,14.603968372873895
9,1269000.0,7,41.0,Independiente,5000000.0,2000000.0,150036,734.0,19,5,0.0,222010.0,222010.0,0.0,13,0,6,3917774.0,Creciente,1,15.424948670398354,14.508658238524095
4,1712499.5999999999,12,41.0,Independiente,4000000.0,3000000.0,134764,758.0,7,9,0.0,37776.0,18957.0,0.0,4,0,1,294430.0,Decreciente,1,15.201805169084134,14.914123179965662
9,442560.0,2,47.0,Independiente,5000000.0,2000000.0,174626,757.0,1,8,0.0,53.0,53.0,0.0,0,0,1,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
4,2019600.0,6,64.0,Empleado,3000000.0,1000000.0,299446,874.0,1,3,0.0,0.0,0.0,0.0,1,0,0,1033825.0,Creciente,1,14.914123179965662,13.815511557963774
4,3600000.0,8,55.0,Independiente,3000000.0,2000000.0,413020,814.0,5,3,0.0,8817.0,8817.0,0.0,2,0,2,1205401.0,Creciente,1,14.914123179965662,14.508658238524095
4,636000.0,6,65.0,Independiente,954263.0,1127000.0,95739,868.0,5,9,0.0,16556.0,16556.0,0.0,5,0,0,954263.0,Creciente,1,13.768695641707609,13.935070680332966
4,3810308.4,12,55.0,Empleado,3000000.0,1000000.0,297986,788.0,9,3,0.0,51322.0,51322.0,0.0,2,1,4,992011.0,Decreciente,1,14.914123179965662,13.815511557963774
4,1534020.0,6,53.0,Independiente,2090000.0,0.0,230921,782.0,1,1,0.0,0.0,0.0,0.0,0,0,0,1205401.0,Creciente,1,14.55267510240978,0.0
4,3661855.1999999997,6,61.0,Independiente,15000000.0,3000000.0,545699,805.0,5,6,0.0,34467.0,34467.0,0.0,4,0,0,1205401.0,Creciente,1,16.52356082573315,14.914123179965662
4,1929480.0,6,49.0,Empleado,6800000.0,2500000.0,286841,801.0,6,3,0.0,82874.0,82874.0,0.0,4,0,1,31156.0,Creciente,1,15.732433317205148,14.731801689838349
9,1269000.0,5,65.0,Independiente,5000000.0,2000000.0,205990,871.0,4,8,0.0,115382.0,115382.0,0.0,2,0,1,1205401.0,Creciente,0,15.424948670398354,14.508658238524095
9,3586916.4,9,41.0,Independiente,3800000.0,1600000.0,335308,723.0,18,3,0.0,86990.0,86990.0,0.0,15,0,2,2021403.0,Decreciente,1,15.150511887854474,14.285514812209815
9,878880.0,3,60.0,Independiente,5000000.0,2000000.0,233237,831.0,2,2,0.0,89.0,89.0,0.0,0,0,1,2630127.0,Decreciente,1,15.424948670398354,14.508658238524095
9,1269000.0,5,41.0,Independiente,5000000.0,2000000.0,205990,751.0,11,5,0.0,38278.0,38278.0,0.0,7,0,1,1043410.0,Creciente,1,15.424948670398354,14.508658238524095
9,878880.0,2,38.0,Independiente,4000000.0,2000000.0,346587,779.0,10,7,0.0,100471.0,100471.0,0.0,5,1,2,931394.0,Creciente,1,15.201805169084134,14.508658238524095
4,2349480.0,12,56.0,Independiente,5000000.0,1200000.0,184891,867.0,2,3,0.0,4701.0,4701.0,0.0,1,1,0,908526.0,Estable,1,15.424948670398354,13.997832948091215
9,719785.2,8,50.0,Independiente,5000000.0,2000000.0,75201,794.0,9,8,0.0,50113.0,50113.0,0.0,5,1,2,954263.0,Creciente,1,15.424948670398354,14.508658238524095
4,3105240.0,6,43.0,Independiente,10000000.0,5000000.0,460102,769.0,10,5,0.0,25909.0,23476.0,0.0,4,0,1,1516832.0,Creciente,1,16.118095750958314,15.424948670398354
9,821208.0,2,20.0,Independiente,5000000.0,2000000.0,324034,767.0,7,4,0.0,21034.0,18993.0,0.0,2,0,3,954263.0,Creciente,1,15.424948670398354,14.508658238524095
4,3931081.1999999997,12,65.0,Empleado,12000000.0,2500000.0,272992,878.0,4,2,0.0,157.0,157.0,0.0,2,0,0,916148.0,Creciente,1,16.300417291085605,14.731801689838349
9,1269000.0,2,53.0,Independiente,5000000.0,2000000.0,500578,819.0,7,10,0.0,24602.0,21367.0,0.0,4,0,2,933473.0,Creciente,1,15.424948670398354,14.508658238524095
4,779880.0,24,65.0,Independiente,1500000.0,350000.0,34172,811.0,4,1,0.0,2648.0,2648.0,0.0,0,0,1,1205401.0,Creciente,1,14.220976332738882,12.765691290604371
4,3279120.0,12,62.0,Empleado,15000000.0,6000000.0,227717,883.0,5,3,0.0,1477.0,1477.0,0.0,4,0,0,14708111.0,Creciente,1,16.52356082573315,15.607270193858982
4,1633020.0,6,51.0,Independiente,5000000.0,2000000.0,242783,865.0,7,3,0.0,31165.0,31165.0,0.0,5,0,1,939017.0,Creciente,1,15.424948670398354,14.508658238524095
9,2909440.8,10,65.0,Independiente,5000000.0,3000000.0,246765,430.0,13,2,366.0,50549.0,50549.0,0.0,10,0,2,1205401.0,Creciente,1,15.424948670398354,14.914123179965662
9,2113460.4,10,45.0,Independiente,3000000.0,1500000.0,179725,841.0,6,2,0.0,15726.0,15726.0,0.0,2,1,1,939017.0,Creciente,1,14.914123179965662,14.220976332738882
4,2340000.0,12,37.0,Empleado,3100000.0,200000.0,183599,737.0,3,10,0.0,27267.0,27267.0,0.0,2,0,0,3021448.0,Creciente,1,14.946912992035967,12.206077645517674
9,2079050.4,9,67.0,Independiente,3000000.0,1200000.0,194165,876.0,3,2,0.0,0.0,0.0,0.0,3,0,0,908526.0,Estable,1,14.914123179965662,13.997832948091215
9,677718.0,10,68.0,Empleado,3000000.0,0.0,57390,799.0,1,1,0.0,71240.0,71240.0,0.0,1,0,0,2711627.0,Creciente,1,14.914123179965662,0.0
9,3511209.6,10,66.0,Empleado,9230000.0,4988000.0,302040,820.0,14,3,0.0,163618.0,163618.0,0.0,10,0,0,969508.0,Creciente,1,16.03796971482139,15.422545786263198
9,4949838.0,11,45.0,Independiente,4000000.0,2000000.0,389741,868.0,7,2,0.0,65631.0,65631.0,0.0,3,2,0,923771.0,Creciente,1,15.201805169084134,14.508658238524095
9,2407514.4,10,67.0,Empleado,2000000.0,1500000.0,204194,761.0,4,0,0.0,29817.0,29817.0,0.0,2,0,2,1205401.0,Creciente,1,14.508658238524095,14.220976332738882
9,878880.0,8,63.0,Independiente,5000000.0,2000000.0,91585,819.0,8,3,0.0,157476.0,108281.0,0.0,1,3,4,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
9,1653325.2,9,43.0,Independiente,2000000.0,1700000.0,154185,789.0,1,2,0.0,39.0,39.0,0.0,0,0,0,1205401.0,Creciente,1,14.508658238524095,14.346139397261565
9,4541006.399999999,9,42.0,Empleado,5000000.0,2000000.0,424091,823.0,3,2,0.0,35257.0,18477.0,0.0,1,1,0,30285.0,Decreciente,1,15.424948670398354,14.508658238524095
4,3623280.0,6,43.0,Empleado,605733.0,3797000.0,542685,805.0,3,4,0.0,49124.0,49124.0,0.0,0,0,3,605733.0,Creciente,1,13.31419622479299,15.14972210257972
9,2896401.6,9,41.0,Independiente,5500000.0,2500000.0,270499,853.0,14,5,0.0,190093.0,19999.0,0.0,12,0,1,1755606.0,Estable,1,15.520258832020865,14.731801689838349
4,4032000.0,6,38.0,Independiente,1000000.0,1158000.0,603902,760.0,4,1,0.0,31320.0,31320.0,0.0,1,1,1,1000000.0,Estable,1,13.815511557963774,13.962205800672564
4,1582800.0,6,63.0,Independiente,1750000.0,342000.0,243484,792.0,2,6,0.0,812.0,812.0,0.0,1,0,1,1013333.0,Creciente,1,14.375126917328105,12.742568940017076
9,1183716.0,9,62.0,Independiente,3500000.0,2000000.0,110549,889.0,3,2,0.0,18080.0,18080.0,0.0,1,0,2,1205401.0,Creciente,1,15.068273812173887,14.508658238524095
9,3417370.8,9,42.0,Independiente,10000000.0,4000000.0,319458,771.0,7,5,0.0,9950.0,9950.0,0.0,0,0,5,2128000.0,Estable,1,16.118095750958314,15.201805169084134
9,3019130.4,9,42.0,Independiente,6000000.0,5500000.0,282366,834.0,7,4,0.0,66544.0,66544.0,0.0,5,0,1,1242500.0,Creciente,1,15.607270193858982,15.520258832020865
9,2642703.6,10,47.0,Independiente,3500000.0,2000000.0,224966,830.0,3,4,0.0,21939.0,21939.0,0.0,2,0,1,1000000.0,Decreciente,1,15.068273812173887,14.508658238524095
9,5277316.8,9,68.0,Independiente,3500000.0,0.0,493328,886.0,2,3,0.0,3681.0,3681.0,0.0,2,0,0,1205401.0,Creciente,1,15.068273812173887,0.0
9,413592.0,6,41.0,Empleado,5000000.0,2000000.0,56513,732.0,9,9,0.0,84022.0,84022.0,0.0,6,0,2,826757.0,Creciente,1,15.424948670398354,14.508658238524095
9,5975440.8,11,42.0,Independiente,4780000.0,1227000.0,476119,831.0,8,3,0.0,92351.0,92351.0,0.0,5,0,0,1500000.0,Creciente,1,15.379951313672638,14.020083538688642
9,1864176.0,11,40.0,Independiente,3000000.0,1500000.0,145286,825.0,7,2,0.0,29995.0,29995.0,0.0,5,0,0,200000.0,Decreciente,1,14.914123179965662,14.220976332738882
4,1701202.8,12,40.0,Empleado,2100000.0,1000000.0,134481,835.0,3,7,0.0,38848.0,38848.0,0.0,1,1,1,2997521.0,Decreciente,1,14.557448378884015,13.815511557963774
4,420000.0,18,45.0,Empleado,3700000.0,1800000.0,23983,731.0,13,7,0.0,9660.0,9660.0,0.0,6,0,5,1205401.0,Creciente,1,15.123843647884687,14.403297778421795
4,639600.0,6,62.0,Independiente,2734000.0,0.0,96378,839.0,1,1,0.0,0.0,0.0,0.0,1,0,0,1205401.0,Creciente,1,14.821276662030412,0.0
4,3600000.0,36,42.0,Empleado,2500000.0,1000000.0,116567,827.0,3,2,0.0,5115.0,5115.0,0.0,2,0,0,908526.0,Estable,1,14.731801689838349,13.815511557963774
9,2429022.0,9,41.0,Independiente,8000000.0,3000000.0,226524,844.0,4,3,0.0,36426.0,36426.0,0.0,3,1,0,1000000.0,Estable,1,15.894952224644102,14.914123179965662
9,3387720.0,9,42.0,Empleado,5000000.0,2000000.0,317596,890.0,7,2,0.0,14526.0,14526.0,0.0,5,0,0,7423500.0,Creciente,1,15.424948670398354,14.508658238524095
9,1249776.0,10,41.0,Empleado,2000000.0,800000.0,106279,791.0,9,2,0.0,14791.0,14791.0,0.0,6,0,0,933473.0,Creciente,1,14.508658238524095,13.592368256649284
9,1955869.2,10,41.0,Empleado,652000.0,0.0,165888,883.0,7,0,0.0,35676.0,35676.0,0.0,3,0,1,1205401.0,Creciente,1,13.387801374649944,0.0
9,1421530.8,10,68.0,Independiente,3500000.0,1200000.0,120568,856.0,11,2,0.0,81188.0,62833.0,0.0,6,2,3,1205401.0,Creciente,1,15.068273812173887,13.997832948091215
9,2543582.4,9,40.0,Independiente,5000000.0,2000000.0,238345,825.0,9,4,0.0,60815.0,60815.0,0.0,3,0,1,871788.0,Creciente,1,15.424948670398354,14.508658238524095
4,1530643.2,12,61.0,Empleado,6500000.0,2000000.0,121344,749.0,8,4,0.0,50651.0,50651.0,0.0,5,0,0,931394.0,Creciente,1,15.687312888712007,14.508658238524095
4,1376400.0,12,57.0,Empleado,1200000.0,500000.0,108136,843.0,7,1,0.0,25835.0,12869.0,0.0,1,3,2,1159147.0,Decreciente,1,13.997832948091215,13.122365377402328
4,669600.0,6,41.0,Independiente,3600000.0,500000.0,99948,795.0,3,6,0.0,37627.0,37627.0,0.0,1,0,1,1205401.0,Creciente,1,15.096444681204078,13.122365377402328
9,1806945.5999999999,10,43.0,Empleado,3800000.0,1800000.0,153257,829.0,5,4,0.0,30434.0,30434.0,0.0,4,1,0,2528216.0,Decreciente,1,15.150511887854474,14.403297778421795
4,2068440.0,6,54.0,Empleado,14795278.0,4097000.0,311339,871.0,8,3,0.0,213132.0,213132.0,0.0,5,0,1,14795278.0,Decreciente,1,16.509818701360846,15.225765800610013
9,1674801.5999999999,10,59.0,Independiente,8000000.0,3500000.0,142646,920.0,6,4,0.0,106879.0,1586.0,0.0,6,0,0,4239337.0,Decreciente,1,15.894952224644102,15.068273812173887
9,637281.6,9,64.0,Empleado,2000000.0,1500000.0,59659,874.0,4,2,0.0,953.0,953.0,0.0,1,0,0,1205401.0,Creciente,1,14.508658238524095,14.220976332738882
4,552000.0,6,41.0,Empleado,1700000.0,200000.0,81845,807.0,2,4,0.0,0.0,0.0,0.0,1,0,0,1023151.0,Creciente,1,14.346139397261565,12.206077645517674
9,1055187.5999999999,10,66.0,Independiente,6000000.0,4000000.0,89590,828.0,12,7,0.0,190322.0,169322.0,0.0,9,1,0,923771.0,Creciente,1,15.607270193858982,15.201805169084134
9,799680.0,11,39.0,Empleado,3100000.0,1500000.0,62395,794.0,3,3,0.0,1015.0,1015.0,0.0,0,0,1,1205401.0,Creciente,1,14.946912992035967,14.220976332738882
9,3388212.0,10,39.0,Empleado,3000000.0,1000000.0,287825,696.0,11,2,0.0,62754.0,62754.0,0.0,5,0,5,931763.0,Decreciente,1,14.914123179965662,13.815511557963774
4,793506.0,12,59.0,Empleado,1500000.0,300000.0,62522,823.0,1,4,0.0,433.0,433.0,0.0,0,0,1,923771.0,Creciente,1,14.220976332738882,12.611541086966115
9,1439079.5999999999,11,60.0,Empleado,5000000.0,3500000.0,112156,815.0,3,4,0.0,3215.0,3215.0,0.0,0,0,2,991122.0,Creciente,1,15.424948670398354,15.068273812173887
9,3823214.4,10,43.0,Empleado,18258000.0,4028000.0,342742,880.0,12,2,0.0,424640.0,120655.0,0.0,9,0,0,13719347.0,Creciente,1,16.72011395287767,15.208780781082725
4,1611759.5999999999,6,42.0,Independiente,2500000.0,1600000.0,241383,731.0,2,3,0.0,1600.0,1600.0,0.0,1,0,0,1205401.0,Creciente,1,14.731801689838349,14.285514812209815
9,2536836.0,9,53.0,Independiente,3000000.0,1500000.0,237259,771.0,5,9,0.0,84461.0,84461.0,0.0,3,0,0,1783333.0,Decreciente,1,14.914123179965662,14.220976332738882
4,2065746.0,18,67.0,Empleado,3400000.0,408000.0,122030,727.0,4,6,0.0,14926.0,14926.0,0.0,0,2,1,983368.0,Creciente,1,15.039286283703994,12.919024904363686
9,3394948.8,9,43.0,Empleado,4872000.0,1424000.0,331642,856.0,5,3,0.0,80637.0,80637.0,0.0,4,0,1,3568025.0,Creciente,1,15.399015293626364,14.168981073201003
9,2843659.1999999997,9,42.0,Independiente,3000000.0,2000000.0,269489,825.0,5,2,0.0,9022.0,9022.0,0.0,3,0,0,1205401.0,Creciente,1,14.914123179965662,14.508658238524095
9,1411796.4,11,41.0,Empleado,6500000.0,2500000.0,111226,850.0,7,5,0.0,87378.0,87378.0,0.0,6,0,1,9119911.0,Creciente,1,15.687312888712007,14.731801689838349
4,1404000.0,10,37.0,Empleado,3500000.0,2000000.0,129921,774.0,2,1,0.0,0.0,0.0,0.0,0,0,0,3447484.0,Creciente,1,15.068273812173887,14.508658238524095
9,1774891.2,10,63.0,Independiente,3000000.0,1500000.0,150301,943.0,6,1,0.0,20406.0,0.0,0.0,0,1,3,1205401.0,Creciente,1,14.914123179965662,14.220976332738882
9,744115.2,9,37.0,Empleado,2000000.0,1400000.0,69727,735.0,5,5,0.0,8384.0,1057.0,0.0,0,0,2,2868897.0,Creciente,1,14.508658238524095,14.151983508870947
9,3846830.4,10,40.0,Empleado,4824000.0,1638000.0,337499,818.0,8,3,0.0,36056.0,36056.0,0.0,6,0,1,1084047.0,Creciente,1,15.389114224685986,14.308987153895576
9,1784658.0,7,64.0,Empleado,3200000.0,2500000.0,210192,922.0,8,0,0.0,25339.0,25339.0,0.0,5,0,0,1205401.0,Creciente,1,14.978661680269907,14.731801689838349
4,1289400.0,6,61.0,Empleado,1600000.0,700000.0,192463,838.0,4,5,0.0,11505.0,11505.0,0.0,2,1,1,2700459.0,Creciente,1,14.285514812209815,13.45883704259595
9,3081804.0,4,68.0,Empleado,2980000.0,582000.0,631536,848.0,6,2,0.0,30329.0,30329.0,0.0,4,0,0,992377.0,Creciente,1,14.907434194052001,13.274227444925158
4,960000.0,6,62.0,Independiente,3000000.0,1050000.0,142489,856.0,8,1,0.0,42809.0,40976.0,0.0,6,0,2,1205401.0,Creciente,1,14.914123179965662,13.864301674514206
9,3278569.1999999997,9,68.0,Empleado,5000000.0,2000000.0,307951,861.0,3,2,0.0,49.0,49.0,0.0,2,0,0,1205401.0,Creciente,1,15.424948670398354,14.508658238524095
9,2000076.0,10,67.0,Independiente,1500000.0,600000.0,170261,882.0,3,1,0.0,917.0,917.0,0.0,3,0,0,1100000.0,Estable,1,14.220976332738882,13.304686600863562
4,734400.0,6,62.0,Independiente,2600000.0,450000.0,110397,794.0,9,2,0.0,73820.0,73820.0,0.0,5,0,1,977131.0,Creciente,1,14.77102238760702,13.017005083966255
4,1763880.0,6,56.0,Empleado,4550000.0,2000000.0,262163,712.0,9,6,0.0,37965.0,37965.0,0.0,4,0,2,3210392.0,Creciente,1,15.330638010707329,14.508658238524095
4,1896000.0,12,57.0,Independiente,3000000.0,800000.0,149205,771.0,7,2,0.0,14163.0,13292.0,0.0,2,1,0,916148.0,Creciente,1,14.914123179965662,13.592368256649284
9,8830670.4,9,46.0,Independiente,2800000.0,2300000.0,825498,748.0,18,6,0.0,439467.0,439467.0,0.0,13,0,3,1205401.0,Creciente,1,14.845130332288226,14.648420115681892
4,2328000.0,12,42.0,Independiente,16000000.0,12000000.0,182670,762.0,10,7,0.0,185912.0,185912.0,0.0,7,0,1,860936.0,Decreciente,0,16.588099342704055,16.300417291085605
4,4659840.0,6,39.0,Empleado,12000000.0,6000000.0,690914,706.0,3,2,0.0,2407.0,2407.0,0.0,2,0,0,5615070.0,Creciente,1,16.300417291085605,15.607270193858982
4,600000.0,6,43.0,Independiente,3000000.0,2400000.0,88893,738.0,2,5,0.0,10910.0,10910.0,0.0,0,0,1,1205401.0,Creciente,0,14.914123179965662,14.690979711984754
4,1092960.0,8,40.0,Empleado,1800000.0,500000.0,124065,765.0,1,4,0.0,29.0,29.0,0.0,0,0,0,1196669.0,Creciente,1,14.403297778421795,13.122365377402328
4,2067540.0,6,54.0,Independiente,4350000.0,1352000.0,312676,748.0,10,3,0.0,54426.0,54426.0,0.0,6,0,1,1536363.0,Creciente,1,15.285686632949897,14.117096275229743
4,4152000.0,6,43.0,Independiente,15000000.0,3000000.0,617282,775.0,3,5,0.0,67818.0,67818.0,0.0,2,0,0,32724.0,Creciente,1,16.52356082573315,14.914123179965662
4,2952000.0,6,42.0,Independiente,5000000.0,1500000.0,438153,749.0,7,4,0.0,14043.0,14043.0,0.0,2,0,2,30285.0,Creciente,1,15.424948670398354,14.220976332738882
